order_token,order_time,customer_token,merchant_token,merchant_category,merchant_category_desc,payment_type,email_host,customer_age,order_amount,days_to_card_expire,customer_postcode,customer_region,default_flag
2175KQ0T1I8R,2021-06-16 08:30:31.000000,A4C1C9KKQLJY6U,1KDTI448L,5691,Fashion,card-prepaid,gmail.com,33,21.95,1019,IT-340,Friuli-Venezia Giulia,1
125CKP4B4FGL,2021-05-23 18:09:59.000000,13EF9AKMCTNTC0,BKFMMJF7L,5912,Health,card-debit,yahoo.it,26,53.37,1621,IT-201,Lombardia,1
0438KP81JDW8,2021-05-28 06:38:29.000000,B5B2ECKM9IFAGF,FKLJNZY6H,5691,Fashion,card-prepaid,libero.it,41,151.7,1618,IT-250,Lombardia,1
A305KOPT0OIL,2021-05-18 16:11:09.000000,D5CEECKMF0CY2X,5KHZ389YT,5699,Fashion,card-prepaid,gmail.com,18,17.92,1266,IT-800,Campania,1
3DBKPWQGOMC,2021-06-14 16:53:04.000000,557DBAKLY3G85H,EKDTI444B,5999,Electronics,card-prepaid,libero.it,42,543.9,900,IT-800,Campania,1
D29BKPLF3SD8,2021-06-06 16:13:00.000000,514C2EKMCTDYO3,8KGKKVISD,5691,Fashion,card-debit,hotmail.it,37,105,847,IT-840,Campania,1
A1A5KQFPWG7D,2021-06-24 23:06:40.000000,120KQFPWV3X,2KDTI449X,5691,Shoes & Accessories,card-credit,gmail.com,53,56.9,918,IT-160,Liguria,1
D4F5KOBB4S7D,2021-05-03 09:05:37.000000,134KOBB55AI,0KMNIL924,5621,Fashion,card-prepaid,yahoo.it,32,28.55,331,IT-001,Lazio,1
5374KPRYIKQ2,2021-06-09 07:28:41.000000,2BEKOWIH2QR,1KJVGWKU4,5999,Other,card-prepaid,gmail.com,44,43.83,1331,IT-970,Sicilia,1
1232KPLI971P,2021-06-06 17:23:23.000000,224KO68NL0H,1KEV9BVAD,5941,Sport,card-debit,libero.it,22,153.99,939,IT-001,Lazio,1
D30CKPZAQ8M2,2021-06-16 09:13:09.000000,F6B59DKNOOS5FX,1KI74V0GQ,5941,Sport,card-prepaid,libero.it,51,119,929,IT-810,Campania,1
8404KOAH38YO,2021-05-04 21:39:34.000000,A6C9F9KNT1QT2M,2KL854KBE,5691,Fashion,card-prepaid,libero.it,37,170,1642,IT-201,Lombardia,1
C5ACKPOLQJI2,2021-06-05 21:43:52.000000,A605KMCT1XBZ,9KNIX41Y5,5699,Fashion,card-prepaid,icloud.com,32,218,1941,IT-981,Sicilia,1
13C6KPS28FI1,2021-06-08 10:00:24.000000,03C28AKMCTNDZ4,5KKSHUZO6,5944,Jewelry & Watches,card-debit,icloud.com,31,41,1055,IT-801,Campania,1
C29DKOI6B1FH,2021-05-12 05:20:56.000000,1181A2KMCTFTYO,9KGKP4CRW,5995,Other,card-prepaid,gmail.com,44,34.5,660,IT-300,Veneto,1
75CCKQ7P2QCQ,2021-06-24 04:41:10.000000,030DFKMCT3TLB,BKNORSMUE,5699,Fashion,card-prepaid,libero.it,42,16,436,IT-710,Puglia,1
340KOVY68XR,2021-05-17 18:27:54.000000,A35124KMCTM5XH,EKDTI4401,5912,Health,card-prepaid,gmail.com,38,43.18,1292,IT-270,Lombardia,1
E2B3KOLVSWHA,2021-05-10 20:29:52.000000,1B4KOLVT53J,1KGW1QV94,5999,Other,card-debit,live.com,32,57.9,415,IT-210,Lombardia,1
A9DKPC8C2PI,2021-05-30 03:35:44.000000,361536KMTKTAJG,4KDTI442L,5691,Shoes & Accessories,card-credit,gmail.com,30,199.3,1370,IT-870,Calabria,1
BDBKPB3BJKQ,2021-05-28 11:13:33.000000,21D6BAKMCTI4AM,EKDTI444B,5999,Electronics,card-credit,icloud.com,23,918.9,1616,IT-881,Calabria,1
1230KP32PLIT,2021-05-26 20:29:51.000000,74AAFCKKLB07AJ,9KES9UICK,5661,Shoes & Accessories,card-debit,libero.it,27,122.5,860,IT-001,Lazio,1
7175KO6ZO59W,2021-05-01 09:48:34.000000,DBKO6ZONS7,1KDTI448L,5691,Fashion,card-prepaid,gmail.com,48,6.95,1156,IT-100,Piemonte,1
1465KPPF7ZLR,2021-06-09 09:20:23.000000,51E5A3KMCTI78N,FKLQPXMIN,5712,Home & Garden,card-prepaid,yahoo.it,38,107.19,905,IT-200,Lombardia,1
C562KPY79V6G,2021-06-15 14:13:26.000000,101KPCADHLW,1KN0EF7HD,5691,Fashion,card-debit,gmail.com,40,26.9,655,IT-700,Puglia,1
6305KQ958QJ5,2021-06-26 08:16:44.000000,02AF39KMCTKJPL,5KHZ389YT,5699,Fashion,card-prepaid,msn.com,41,88,616,IT-061,Umbria,1
A264KOMPC4PW,2021-05-10 08:34:39.000000,2B1KOMPCKIH,FKFSEJEE3,5977,Beauty,card-prepaid,gmail.com,29,72.6,1115,IT-050,Umbria,1
C246KQC7YY1Y,2021-06-26 11:07:04.000000,30AKQC4H4G4,7KFF4YCI2,5661,Shoes & Accessories,card-prepaid,libero.it,64,180.7,1590,IT-841,Campania,1
8232KPZ8I3KC,2021-06-16 10:54:14.000000,653A30KLIJ81G7,1KEV9BVAD,5941,Sport,card-prepaid,gmail.com,46,307.98,1599,IT-821,Campania,1
2250KOONPDLK,2021-05-15 20:27:47.000000,B59CB0KM4SLT9T,AKFI6IX5R,5977,Beauty,card-credit,me.com,24,60.99,1022,IT-001,Lazio,1
E2E3KOBYCIMT,2021-05-03 23:42:04.000000,31EKOBYCVBW,CKHN5O682,5691,Fashion,card-prepaid,virgilio.it,52,60.5,1215,IT-500,Toscana,1
2A2KOJUCXVJ,2021-05-14 08:21:06.000000,B3679KMCT3UP5,6KDTI442Q,5977,Beauty,card-prepaid,gmail.com,23,112,996,IT-830,Campania,1
431BKOBHH7Q4,2021-05-06 10:38:08.000000,257KOBHHQAT,BKIEOG0KJ,5499,Health,card-prepaid,gmail.com,25,48.46,1002,IT-840,Campania,1
1E8KQ2S5P18,2021-06-19 20:56:42.000000,ECED0KMCT6DHQ,6KDTI444O,5691,Fashion,card-prepaid,gmail.com,44,86.65,1413,IT-540,Toscana,1
A221KOBRWO8C,2021-05-03 15:45:33.000000,3A5KOBQMLB2,CKEA43DQS,5631,Shoes & Accessories,card-prepaid,yahoo.it,37,80.5,1092,IT-100,Piemonte,1
7305KQ3ENFAC,2021-06-22 09:35:16.000000,3B8KQ3DK1HS,5KHZ389YT,5699,Fashion,card-prepaid,libero.it,50,67.4,1200,IT-881,Calabria,1
C1D3KQDHO3FQ,2021-06-24 07:38:52.000000,2A2KQDHOM21,CKDTI44B7,5399,Home & Garden,card-prepaid,gmail.com,41,15.38,705,IT-370,Veneto,1
3305KPI7AWEM,2021-06-07 08:20:44.000000,83EB4KMCT45OH,5KHZ389YT,5699,Fashion,card-debit,gmail.com,33,87.8,1366,IT-310,Veneto,1
E103KOY55KR1,2021-05-21 08:32:46.000000,D3C3D3KMCTNE89,DKDTI445F,5944,Jewelry & Watches,card-prepaid,gmail.com,23,40.98,1411,IT-810,Campania,1
33AEKOTW4QJV,2021-05-21 12:23:31.000000,F528E0KLE72XDC,9KKGOJ8JI,5621,Fashion,card-debit,icloud.com,27,15,562,IT-800,Campania,1
7526KPFNT55T,2021-05-30 16:22:31.000000,CDKOB8Q1QQ,3KMX7BZ4U,5941,Other,card-prepaid,libero.it,51,472.11,1429,IT-810,Campania,1
C243KP9LUBWS,2021-05-31 07:32:04.000000,2FDKP4DR9JE,3KFDSYKRC,5977,Beauty,card-debit,gmail.com,30,12.94,825,IT-500,Toscana,1
B21AKQ8FB0T0,2021-06-19 21:42:16.000000,F6B59DKNOOS5FX,6KE8INTVQ,5941,Sport,card-prepaid,libero.it,52,65,1014,IT-810,Campania,1
A327KORWD7YP,2021-05-14 22:10:56.000000,2A7KORWDLS3,0KIIMCH6U,5999,Auto & Moto,card-prepaid,gmail.com,38,530.03,1629,IT-431,Emilia-Romagna,1
5165KPIGPSOM,2021-06-07 14:00:20.000000,E416BCKMCTO997,0KDTI4485,5995,Other,card-prepaid,gmail.com,24,68.29,1001,IT-820,Campania,1
D305KPGJKS2Q,2021-06-05 05:23:27.000000,01EE78KMCTIC7T,5KHZ389YT,5699,Fashion,card-prepaid,gmail.com,41,69.65,1247,IT-070,Sardegna,1
C3E0KOWTAQ4Y,2021-05-18 10:11:31.000000,18CKOWK43SG,DKL0N6GKX,5691,Fashion,card-prepaid,icloud.com,17,410,925,IT-040,Lazio,1
81FEKOPMC51P,2021-05-18 09:18:29.000000,A9791KMCT5IPU,8KDTI44CE,5691,Fashion,card-prepaid,outlook.it,22,38,1143,IT-230,Lombardia,1
5DBKPBIT2ZY,2021-06-01 16:09:31.000000,6149FKMCT2VKR,EKDTI444B,5999,Electronics,card-prepaid,gmail.com,49,188.8,459,IT-461,Lombardia,1
FDBKPMSLHVF,2021-06-10 18:23:46.000000,E4DFC8KKWWQ6V5,EKDTI444B,5999,Electronics,card-debit,gmail.com,31,342.8,724,IT-060,Umbria,1
CDBKP6T3035,2021-05-25 13:54:59.000000,2B9KP6P976I,EKDTI444B,5999,Electronics,card-prepaid,gmail.com,73,409.9,1315,IT-220,Lombardia,1
B34BKOJM6TEZ,2021-05-11 06:26:51.000000,C3D000KMCTNGMU,AKIYFWASK,5999,Home & Garden,card-prepaid,gmail.com,44,63.8,1665,IT-260,Lombardia,1
03EDKON0P78O,2021-05-10 16:02:25.000000,34AAB6KKL9PAKH,7KL6O1T74,5691,Home & Garden,card-prepaid,icloud.com,34,145.7,1784,IT-670,Abruzzo,1
519AKOA5NCF2,2021-05-05 13:01:03.000000,E816AKMCT59X9,DKDTI449M,5977,Beauty,card-prepaid,gmail.com,46,101.82,1185,IT-000,Lazio,1
B439KPEKJ2SU,2021-06-03 21:12:00.000000,910F28KMCTD5A6,DKLJQ7XQW,5651,Fashion,card-debit,live.it,37,37.99,1553,IT-888,Calabria,1
52FEKPIB7W5Z,2021-06-05 13:17:17.000000,352KPIB8RTS,0KHXO1BEI,5691,Fashion,card-prepaid,outlook.it,27,26.8,727,IT-001,Lazio,1
2570KPGVHCC8,2021-06-03 15:06:00.000000,11BKPGSINJX,5KN7J41RU,5732,Electronics,card-credit,gmail.com,50,816.99,1763,IT-100,Piemonte,1
8DBKP3XOMLC,2021-05-22 12:15:10.000000,145KP3XOZF0,EKDTI444B,5999,Electronics,card-prepaid,gmail.com,26,242.7,1011,IT-131,Piemonte,1
112FKOIDODFF,2021-05-10 10:16:01.000000,87KOICWATY,FKDTI446N,5691,Fashion,card-debit,live.it,25,257,1575,IT-800,Campania,1
2243KPTN3K47,2021-06-12 13:24:17.000000,200KPRH0MAK,3KFDSYKRC,5977,Beauty,card-prepaid,gmail.com,24,50.43,1998,IT-870,Calabria,1
C222KPZXZ66M,2021-06-17 21:44:39.000000,18EKPZXZJ0X,CKEA4KW17,5691,Fashion,card-prepaid,gmail.com,59,185.2,1780,IT-899,Calabria,1
1DBKOQ477BG,2021-05-16 19:05:06.000000,35BKOQ2FA31,EKDTI444B,5999,Electronics,card-debit,gmail.com,33,1064.9,1812,IT-461,Lombardia,1
ADBKPNXJYB1,2021-06-05 13:22:54.000000,3BEKP3RTW0X,EKDTI444B,5999,Electronics,card-prepaid,gmail.com,21,329.9,1181,IT-208,Lombardia,1
C52KPSQA10K,2021-06-08 19:14:26.000000,54A805KKKU2KZL,5KDTI440I,5977,Beauty,card-prepaid,yahoo.it,52,45.11,1239,IT-370,Veneto,1
1458KOVSV219,2021-05-17 21:07:33.000000,51260AKMCTDLKR,2KLMJ0Q14,5699,Fashion,card-prepaid,libero.it,22,21,1139,IT-480,Emilia-Romagna,1
15B7KQFCDY56,2021-06-26 14:19:25.000000,1EFKQFC5EB2,8KNKBHDON,5621,Fashion,card-prepaid,gmail.com,37,30.9,704,IT-901,Sicilia,1
725BKPEJIDHG,2021-06-02 23:26:51.000000,163KO9281TP,2KFMM7YHV,5719,Home & Garden,card-prepaid,libero.it,38,165.95,1157,IT-520,Toscana,1
5DBKOG52SHA,2021-05-10 21:55:59.000000,090DEKMCT5HE7,EKDTI444B,5999,Electronics,card-prepaid,hotmail.com,38,391,1212,IT-501,Toscana,1
8F2KOEJ7Z23,2021-05-08 17:44:49.000000,35AKOEIXCEO,DKDTI444Y,5712,Home & Garden,card-prepaid,gmail.com,33,554,785,IT-800,Campania,1
92FEKPXXE99W,2021-06-18 08:28:55.000000,E4CFCKMCT48I0,0KHXO1BEI,5691,Fashion,card-debit,hotmail.it,26,36.8,838,IT-800,Campania,1
8230KOTQC5KZ,2021-05-21 07:45:47.000000,E474E7KMCTP9L3,9KES9UICK,5661,Shoes & Accessories,card-prepaid,gmail.com,47,124.32,1840,IT-900,Sicilia,1
343DKQ0OUK1P,2021-06-17 08:35:18.000000,94F80CKL2DKPH9,3KLKU0RAQ,5732,Sport,card-prepaid,live.it,44,785.9,744,IT-801,Campania,1
9264KPMLGC9A,2021-06-08 14:16:26.000000,730FFAKMCTLJJ9,FKFSEJEE3,5977,Beauty,card-credit,libero.it,57,48,1728,IT-700,Puglia,1
1232KODG3DQV,2021-05-06 00:20:22.000000,D1CAAFKMCTHYUV,1KEV9BVAD,5941,Sport,card-prepaid,gmail.com,19,228.92,1701,IT-950,Sicilia,1
BDBKQ7ZLBY8,2021-06-23 09:32:48.000000,BEKQ2VOQTZ,EKDTI444B,5999,Electronics,card-debit,gmail.com,24,575.9,1075,IT-341,Friuli-Venezia Giulia,1
65D7KQ9WRZP4,2021-06-20 22:45:45.000000,F3B7B9KMCTN81V,DKNR6SDZK,5699,Fashion,card-prepaid,gmail.com,18,29.98,1074,IT-470,Emilia-Romagna,1
CBBKQ6RZZNM,2021-06-22 14:00:04.000000,F2560AKMCTJH64,3KDTI443F,5533,Beauty,card-prepaid,hotmail.it,24,110,1198,IT-001,Lazio,1
3DBKOMRJTF1,2021-05-15 09:50:24.000000,227KOMRK556,EKDTI444B,5999,Electronics,card-prepaid,gmail.com,38,463.9,1694,IT-441,Emilia-Romagna,1
E232KONX1EGG,2021-05-15 03:23:07.000000,C6A455KNLFEJOI,1KEV9BVAD,5941,Sport,card-prepaid,gmail.com,24,22.94,901,IT-340,Friuli-Venezia Giulia,1
2DBKOYRRVV2,2021-05-18 22:40:03.000000,CBC8EKMCT62YU,EKDTI444B,5999,Electronics,card-prepaid,gmail.com,17,463.9,1625,IT-810,Campania,1
B1A3KP8VSKMJ,2021-06-01 00:26:06.000000,C2902EKMCTK5CU,7KDTI449V,5944,Jewelry & Watches,card-prepaid,hotmail.it,40,28.83,1738,IT-030,Lazio,1
9371KPZI1JW7,2021-06-18 13:27:03.000000,2E2KPZF7FKX,3KJTUGATZ,5999,Sport,card-prepaid,gmail.com,58,149,1111,IT-200,Lombardia,1
12BEKQ13TOZU,2021-06-15 17:25:38.000000,955317KLOZE987,8KH37YX27,5977,Other,card-prepaid,gmail.com,51,207.51,45,IT-741,Puglia,1
221AKOGWIAID,2021-05-08 08:52:48.000000,329C8DKMCTKC3K,6KE8INTVQ,5941,Sport,card-debit,gmail.com,20,129.96,1576,IT-411,Emilia-Romagna,1
C2FEKPJMQJU6,2021-06-07 11:04:43.000000,3DEKPJLXR2M,0KHXO1BEI,5691,Fashion,card-debit,libero.it,27,61.9,1761,IT-288,Piemonte,1
425BKPXS6JGV,2021-06-12 10:11:44.000000,9FBB8KMCTCVCA,2KFMM7YHV,5719,Home & Garden,card-debit,libero.it,49,198.85,1751,IT-970,Sicilia,1
13CDKOMVS3NC,2021-05-11 11:48:44.000000,114A5BKMCTDYB4,0KKWPFYEX,5941,Sport,card-debit,yahoo.it,51,121,141,IT-300,Veneto,1
02CBKOAHWIFU,2021-05-01 18:12:31.000000,24E2A3KKXQPGQ9,BKHAMYQZ1,5999,Sport,card-prepaid,outlook.it,37,80.56,1277,IT-550,Toscana,1
B5A2KP6SXL4Z,2021-05-28 14:16:27.000000,391KP6SBSXJ,3KNHL8XP7,5533,Auto & Moto,card-debit,gmail.com,39,140.16,1739,IT-030,Lazio,1
D86KQG937UD,2021-06-27 04:03:59.000000,0446FDKMCTOTJV,4KDTI441Y,5691,Fashion,card-prepaid,hotmail.it,24,58,1799,IT-611,Marche,1
186KQE6ZIB7,2021-06-28 21:33:15.000000,92F2DBKMCTL6HS,4KDTI441Y,5691,Fashion,card-prepaid,gmail.com,21,83,279,IT-621,Marche,1
3232KQDUAAGU,2021-06-26 14:58:28.000000,F62D01KMXZ65TN,1KEV9BVAD,5941,Sport,card-prepaid,gmail.com,19,83.89,1375,IT-080,Sardegna,1
8DBKOBL3RC3,2021-05-08 16:04:37.000000,9886AKMCT5BB1,EKDTI444B,5999,Electronics,card-prepaid,gmail.com,31,442.9,1580,IT-660,Abruzzo,1
4644KPVIIDE8,2021-06-14 16:26:43.000000,915812KMCTE8OL,4KOJPSDIL,5722,Electronics,card-debit,gmail.com,45,383.96,1267,IT-090,Sardegna,1
4DBKQG88O5F,2021-06-25 08:55:03.000000,28FKQG892BF,EKDTI444B,5999,Electronics,card-prepaid,icloud.com,37,234.6,1373,IT-401,Emilia-Romagna,1
1232KOMNRJAK,2021-05-12 09:50:36.000000,6149FKMCT2VKR,1KEV9BVAD,5941,Sport,card-debit,gmail.com,50,138.99,1449,IT-880,Calabria,1
91CKOW0XUAP,2021-05-20 21:18:26.000000,35F561KMMML1DC,8KDTI43Z1,8043,Fashion,card-prepaid,libero.it,19,146,1657,IT-810,Campania,1
1DBKPDLR7KV,2021-05-29 06:43:42.000000,F1KPCU3MWD,EKDTI444B,5999,Electronics,card-prepaid,libero.it,22,833.9,1644,IT-130,Piemonte,1
2F2KOVR7B64,2021-05-22 16:19:13.000000,96DDEAKNXB8ZDY,DKDTI444Y,5712,Home & Garden,card-debit,gmail.com,45,337,1109,IT-580,Toscana,1
86DKPWTU5X8,2021-06-17 19:16:39.000000,1ACCAKMCT5S55,7KDTI4419,8099,Other,card-prepaid,libero.it,31,31.47,1328,IT-460,Lombardia,1
210EKOO333MB,2021-05-12 09:11:35.000000,395KOO33RD5,6KDTI445Q,5977,Other,card-debit,hotmail.it,41,61.09,1022,IT-620,Marche,1
A24DKO5KALB0,2021-05-04 12:26:15.000000,138KO5KBI1J,BKFGIGYXO,5046,Other,card-debit,gmail.com,36,166.9,92,IT-720,Puglia,1
D44KQ8AMI79,2021-06-19 18:53:05.000000,B4KP2BSY00,0KDTI4405,5949,Other,card-prepaid,gmail.com,51,32.8,954,IT-950,Sicilia,1
71EDKOSEZFAV,2021-05-18 09:21:16.000000,187KOSEZQP8,2KDTI44BX,5691,Fashion,card-prepaid,gmail.com,31,16.9,137,IT-270,Lombardia,1
A5C5KOYAS529,2021-05-20 10:38:18.000000,EBKOMZ601B,4KNOCC7V3,5712,Home & Garden,card-debit,gmail.com,33,364,1686,IT-880,Calabria,1
348DKP13NORO,2021-05-20 13:02:39.000000,F159E3KMCTE91I,EKM0PCV8J,5611,Fashion,card-prepaid,icloud.com,34,66.98,1774,IT-890,Calabria,1
123BKQ6GB5CF,2021-06-21 11:23:52.000000,179KQ43IAGP,1KF2PDWQW,5719,Home & Garden,card-prepaid,libero.it,33,164,2020,IT-710,Puglia,1
A285KQ3PT6SF,2021-06-22 10:03:55.000000,728FC0KMCTK59S,7KG9MJD3Z,5691,Fashion,card-credit,yahoo.it,43,88,227,IT-060,Umbria,1
D9FKPHABUW8,2021-05-31 20:56:30.000000,AFKOKFJL1G,AKDTI442N,5691,Fashion,card-credit,gmail.com,22,169,1459,IT-250,Lombardia,1
9DBKPWH3OB2,2021-06-12 10:26:36.000000,181KPV4LHMT,EKDTI444B,5999,Electronics,card-prepaid,gmail.com,50,225.9,778,IT-960,Sicilia,1
51A5KO7EEMXI,2021-04-30 16:54:49.000000,95698CKLTMIXLA,2KDTI449X,5691,Shoes & Accessories,card-debit,hotmail.it,26,63,882,IT-950,Sicilia,1
B438KOA46ND2,2021-05-05 15:51:23.000000,100KO9VRR3M,FKLJNZY6H,5691,Fashion,card-credit,gmail.com,39,458.2,1003,IT-331,Friuli-Venezia Giulia,1
8403KOBKF4MT,2021-05-06 16:19:50.000000,193KOBJP23G,8KL84ZB4T,5691,Fashion,card-debit,gmail.com,44,435.99,392,IT-880,Calabria,1
E305KO6VWEPB,2021-05-04 09:06:35.000000,081KMCT1W8R,5KHZ389YT,5699,Fashion,card-credit,hotmail.it,33,36.9,974,IT-740,Puglia,1
123BKPQO0NCN,2021-06-10 06:49:40.000000,A41BD4KMCTOA9E,1KF2PDWQW,5719,Home & Garden,card-prepaid,libero.it,44,324.1,995,IT-810,Campania,1
021AKOVKNF31,2021-05-19 12:19:57.000000,21FCA5KMCTIHXT,6KE8INTVQ,5941,Sport,card-prepaid,gmail.com,49,84.9,500,IT-741,Puglia,1
91A5KOL21IVZ,2021-05-12 07:14:03.000000,F4571FKMCTOWQL,2KDTI449X,5691,Shoes & Accessories,card-debit,gmail.com,26,79,81,IT-280,Piemonte,1
1305KOAJ1352,2021-05-05 21:55:52.000000,64952FKKFYATEN,5KHZ389YT,5699,Fashion,card-debit,gmail.com,29,50.97,758,IT-980,Sicilia,1
619AKORGRQWK,2021-05-19 19:48:19.000000,13606KMCT3ULY,DKDTI449M,5977,Beauty,card-prepaid,gmail.com,38,238.3,289,IT-240,Lombardia,1
E15AKOD6EE53,2021-05-04 17:17:07.000000,294KOD0SXGI,DKDTI447U,5699,Shoes & Accessories,card-prepaid,gmail.com,67,162,1944,IT-040,Lazio,1
E406KOZYRQIA,2021-05-23 14:39:55.000000,F52755KLDW1WJ1,FKL8AVUAV,5691,Fashion,card-credit,gmail.com,26,376,1716,IT-840,Campania,1
140CKPY9CIRL,2021-06-13 14:40:00.000000,22BKPY9DWTX,AKLAM08K9,5699,Beauty,card-debit,hotmail.it,30,152.5,777,IT-889,Calabria,1
6343KOJU5B53,2021-05-10 08:57:15.000000,44CDC8KKSY9TS5,3KISS0N0Y,5691,Fashion,card-credit,gmail.com,37,119.5,82,IT-420,Emilia-Romagna,1
C21AKO6FAYMM,2021-04-28 22:36:39.000000,812451KMCTDER0,6KE8INTVQ,5941,Sport,card-credit,gmail.com,43,42.96,1065,IT-550,Toscana,1
7B1KPOFIK88,2021-06-07 17:55:45.000000,E336C7KMCTLXCY,2KDTI4435,5941,Auto & Moto,card-credit,live.it,37,166.11,997,IT-420,Emilia-Romagna,1
421BKOVF5GA0,2021-05-16 13:40:08.000000,C3CC83KMCTNFY1,4KE8MAWV4,5661,Shoes & Accessories,card-debit,gmail.com,34,99.99,1596,IT-090,Sardegna,1
B3EBKPNUWL38,2021-06-05 10:45:53.000000,14CF9KMCT48HX,7KL6F4WCW,5261,Mom & Baby,card-prepaid,hotmail.it,26,58.63,1058,IT-911,Sicilia,1
7DBKPKY0NIQ,2021-06-09 11:47:35.000000,64AF7DKKMG14NA,EKDTI444B,5999,Electronics,card-prepaid,gmail.com,29,430.8,1790,IT-431,Emilia-Romagna,1
7246KQ2IA4ML,2021-06-21 13:27:44.000000,8C266KMCT644E,7KFF4YCI2,5661,Shoes & Accessories,card-prepaid,libero.it,37,27,1171,IT-670,Abruzzo,1
03C6KPGRBAQX,2021-06-05 10:01:16.000000,E6EC9FKO0ECUUM,5KKSHUZO6,5944,Jewelry & Watches,card-debit,gmail.com,46,456,1002,IT-801,Campania,1
02FEKQDM1410,2021-06-23 11:18:20.000000,215KPOKVU9A,0KHXO1BEI,5691,Fashion,card-debit,gmail.com,42,52.7,309,IT-100,Piemonte,1
357KPYXRSRB,2021-06-13 04:59:30.000000,C594E4KM33YZJ2,8KDTI440N,5977,Beauty,card-debit,live.it,51,187,1691,IT-280,Piemonte,1
1305KP1DCWU1,2021-05-25 16:07:45.000000,22E345KMCTL0F5,5KHZ389YT,5699,Fashion,card-prepaid,libero.it,31,114.37,831,IT-110,Valle dAosta,1
6320KPWZKLDJ,2021-06-14 18:29:44.000000,245KPPUAWFH,DKIHHB1TK,5661,Fashion,card-prepaid,gmail.com,29,105,1631,IT-740,Puglia,1
D2DBKPIFLB0O,2021-06-02 16:11:55.000000,2B1KPFSSDTW,3KHEUP8LA,5499,Home & Garden,card-prepaid,iol.it,53,136.89,1641,IT-220,Lombardia,1
11A5KOQ6JNNJ,2021-05-17 18:18:48.000000,D5783EKLWT9ZMN,2KDTI449X,5691,Shoes & Accessories,card-prepaid,gmail.com,43,79.84,474,IT-061,Umbria,1
E81KQGHGMK9,2021-07-01 08:43:29.000000,2C7KQ9J968J,1KDTI441T,5691,Fashion,card-prepaid,libero.it,44,284,1587,IT-800,Campania,1
0165KPE0NL4G,2021-05-31 11:13:13.000000,A432FKMCT46KC,0KDTI4485,5995,Other,card-prepaid,gmail.com,45,62.66,913,IT-840,Campania,1
6BAKPEGU0CR,2021-05-29 19:16:23.000000,34CKPBXBN32,DKDTI443E,5944,Jewelry & Watches,card-prepaid,gmail.com,22,121,1553,IT-170,Liguria,1
42D3KOSOTBUH,2021-05-14 11:38:00.000000,068838KNFUK760,4KHBW1Q6Y,5499,Food & Beverage,card-debit,me.com,22,75.29,1690,IT-501,Toscana,1
